en_common_name,pt_common_name,work_species,work_author,variety,family,growth_form_1,growth_form,life_cycle,stratum,light_demand,initial_harvest_yrs,max_initial_harvest_yrs,production_longevity_yrs,apical_pruning_yrs,deciduousness,height_m,estage,function,pollination_syndrome,dispersal_syndrome,threat_status,establishment,habitat,spacing,occurrence,
,braquiaria,Urochloa eminii,(Mez) Davidse,,Poaceae,herb,graminoid,perennial,,,,,,,evergreen,,,,,,,,,,,
,brejauva,Astrocaryum aculeatissimum,(Schott) Burret,,Arecaceae,palm,palm,perennial,,,,,,,,,,,,,,endemic,Área Antrópica|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-SP,
broccoli,brocolis,Brassica oleracea,L.,,Brassicaceae,herb,forb,annual,high,6,0.25,0.333,0.5,,annual,,placenta1,,,,,cultivated,,0.6x0.6,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,
loofa sponge,bucha,Cucumis melo,L.,,Cucurbitaceae,climber,vine,annual,emergent,8,0.417,1,1,,annual,1.8,,human food ,,,,cultivated,,,BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP,
luffa,buchinha-do-norte,Luffa operculata,Cogn.,,Cucurbitaceae,climber,vine,,,,,,,,,,,medicines,,,,native,Floresta Ombrófila (= Floresta Pluvial),,BR-AM|BR-BA|BR-CE|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-SE,
muriti,buriti,Mauritia flexuosa,L.f.,,Arecaceae,palm,palm,perennial,emergent,8,12,20,55,,evergreen,,,,,,,native,Floresta Ciliar ou Galeria|Floresta de Várzea|Palmeiral,,BR-AC|BR-AM|BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PI|BR-RO|BR-SP|BR-TO,
buritirana,buritirana,Mauritiella aculeata,(Kunth) Burret,,Arecaceae,palm,palm,perennial,,,,,,,evergreen,,,,,,,native,Floresta de Igapó|Floresta de Terra Firme,,BR-AM,
gourd,cabaca,Lagenaria siceraria,(Molina) Standl.,,Cucurbitaceae,climber,vine,annual,,,0.167,0.333,0.583,,annual,,,,,,,cultivated,Área Antrópica|Cerrado (lato sensu)|Floresta Estacional Semidecidual,,BR-DF|BR-GO|BR-MG,
,cabeludinha,Myrciaria glazioviana,(Kiaersk.) G.M.Barroso ex Sobral,,Myrtaceae,tree,tree,perennial,medium,4,5,,50,,evergreen,,secundaria2e3,,,,,endemic,Floresta Ombrófila (= Floresta Pluvial)|Restinga,5x4,BR-AL|BR-BA|BR-ES|BR-MG|BR-RJ|BR-RS|BR-SC,
,cabreuva,Myrocarpus frondosus,Allemao,,Fabaceae,tree,tree,perennial,high,6,,,55,,evergreen,,,,,,,native,Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,cabriteira,Rhamnidium elaeocarpum,Reissek,,Rhamnaceae,tree,tree,perennial,,,,,,,,,,,,,,native,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual,,BR-AC|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PE|BR-SC|BR-SP,
cocoa,cacau,Theobroma cacao,L.,,Malvaceae,tree,tree,perennial,low-medium,3,6,12,30,,evergreen,10,sistemadedisturbio,human food,,,,naturalized,Área Antrópica|Floresta de Terra Firme|Floresta Ombrófila (= Floresta Pluvial),3x3,BR-AC|BR-AM|BR-AP|BR-BA|BR-MA|BR-PA|BR-RO|BR-SE,
,cacaui,Theobroma speciosum,Willd. ex Spreng.,,Malvaceae,tree,tree,perennial,,,,,,,evergreen,,,,,,,native,Floresta de Terra Firme|Floresta de Várzea,,BR-AC|BR-AM|BR-AP|BR-MA|BR-MT|BR-PA|BR-RO|BR-RR,
coffee,cafe,Coffea arabica,L.,,Rubiaceae,shrub,shrub,perennial,low,2,3,,15,,evergreen,4,secundaria12e3,human food,,,,cultivated,Área Antrópica,2x1,BR-AC|BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP,
,cafezeiro-do-mato,Casearia sylvestris,Sw.,,Salicaceae,tree,tree,perennial,high,6,,,,,evergreen,20,,animal food,,,,native,Caatinga (stricto sensu)|Campinarana|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga,,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,
,cagaita,Eugenia dysenterica,DC.,,Myrtaceae,shrub,shrub,perennial,high,6,12,20,,,,,,,,,,endemic,Cerrado (lato sensu),,BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PE|BR-PI|BR-SP|BR-TO,
mombin,caja,Spondias mombin,L.,,Anacardiaceae,tree,tree,perennial,high,6,5,,40,,evergreen,25,secundaria2e3,human food;materials,,,,native,Área Antrópica|Floresta Ciliar ou Galeria|Floresta de Igapó|Floresta de Terra Firme|Floresta de Várzea|Floresta Estacional Semidecidual,10x12,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-RO|BR-RR|BR-SE|BR-SP|BR-TO,
jewish plum,caja-manga,Spondias dulcis,G.Forst.,,Anacardiaceae,tree,tree,perennial,high-emergent,7,5,,55,,evergreen,,secundaria2e3,,,,,,,10x12,,
cashew,caju,Anacardium occidentale,L.,,Anacardiaceae,tree,tree,perennial,emergent,8,2,,55,,evergreen,,primarias,,,,,native,Caatinga (stricto sensu)|Cerrado (lato sensu)|Restinga|Savana Amazônica,10x8,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-RR|BR-SE|BR-SP|BR-TO,
cajurina,cajurina,,,,,,,,medium,4,1,3,,,,,,,,,,,,,,
,calabura,Muntingia calabura,L.,,Muntingiaceae,tree,tree,perennial,high,6,,,50,,evergreen,,,,,,,native,Área Antrópica|Floresta Ciliar ou Galeria|Floresta de Terra Firme,,BR-AC|BR-AM|BR-RO,
,cambara,Moquiniastrum polymorphum,(Less.) G.Sancho,,Asteraceae,tree,tree,perennial,,,,,,,,,,,,,,native,Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-GO|BR-MG|BR-MS|BR-RJ|BR-SP,
,camboata-branco,Matayba intermedia,Radlk.,,Sapindaceae,tree,tree,perennial,,,,,,,evergreen,23,,materials,,,,endemic,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA|BR-ES|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,camboata-da-folha-grande,Cupania oblongifolia,Mart.,,Sapindaceae,tree,tree,perennial,medium-high,5,,,,,evergreen,18,,materials,,,,endemic,Área Antrópica|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-AL|BR-AP|BR-BA|BR-ES|BR-MG|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SP,
,camirinha,Gaylussacia brasiliensis,(Spreng.) Meisn.,,Ericaceae,shrub,shrub,perennial,,,,,,,,,,,,,,native,Campo de Altitude|Campo rupestre|Carrasco|Floresta Ciliar ou Galeria|Restinga|Vegetação Sobre Afloramentos Rochosos,,BR-AL|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP,
chamomile,camomila,Matricaria chamomilla,L.,,Asteraceae,herb,forb,annual,,,0.25,0.333,0.416,,annual,,,,,,,,,,,
sugarcane,cana-de-acucar,Saccharum officinarum,L.,,Poaceae,herb,graminoid,perennial,emergent,8,0.833,1.25,10,,evergreen,,secundaria2,,,,,cultivated,Área Antrópica,1x0.08,BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,
yellow poinciana,canafistula,Peltophorum dubium,(Spreng.) Taub.,,Fabaceae,tree,tree,perennial,high,6,,,55,,evergreen,,,,,,,native,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual,,BR-AL|BR-BA|BR-ES|BR-MG|BR-MS|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SE|BR-SP,
,canela,Ocotea puberula,(Rich.) Nees,,Lauraceae,tree,tree,perennial,high,6,,,55,,evergreen,,,,,,,native,Caatinga (stricto sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Restinga,,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-ES|BR-GO|BR-MG|BR-PA|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO,
sweetwood,canela-branca,Nectandra membranacea,(Sw.) Griseb.,,Lauraceae,tree,tree,perennial,medium,4,,,,,,,,,,,,native,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-AC|BR-BA|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RO|BR-SC|BR-SP|BR-TO,
smooth barb bollygum,canela-da-India,Neolitsea cassia,(L.) Kosterm.,,Lauraceae,tree,tree,perennial,high,6,,,,,evergreen,18,,human food;medicines,,,,,,,,
,canela-do-brejo,Ocotea pulchella,(Nees & Mart.) Mez,,Lauraceae,tree,tree,perennial,high,6,,,,,evergreen,30,,environmental uses;materials,,,,native,Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual,,BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO,
,canela-niuva,Nectandra lanceolata,Nees & Mart.,,Lauraceae,tree,tree,perennial,high,6,13,,,,evergreen,25,,environmental uses;materials,,,,endemic,Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,canjarana,Cabralea canjerana,(Vell.) Mart.,,Meliaceae,tree,tree,perennial,,,,,,,,,,,,,,native,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-AC|BR-AL|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,capim-jaragua,Hyparrhenia rufa,(Nees) Stapf,,Poaceae,herb,graminoid,perennial,,,,,,,evergreen,,,,,,,naturalized,Área Antrópica|Caatinga (stricto sensu)|Campo de Várzea|Campo rupestre|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Palmeiral,,BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SP|BR-TO,
lemongrass,capim-limao,Cymbopogon citratus,(DC.) Stapf,,Poaceae,herb,graminoid,perennial,high,6,0.25,0.333,,,evergreen,1.2,,medicines,,,,naturalized,Área Antrópica,,BR-AC|BR-AL|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-SC|BR-SP,
honeygrass,capim-melosinho,Melinis minutiflora,P.Beauv.,,Poaceae,herb,graminoid,perennial,,,,,,,,,,,,,,naturalized,Área Antrópica|Campo rupestre|Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP|BR-TO,
,capixingui,Croton floribundus,Spreng.,,Euphorbiaceae,tree,tree,perennial,,,,,,,,,,,,,,native,Área Antrópica|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PR|BR-RJ|BR-SP,
,caquera,Senna multijuga,(Rich.) H.S.Irwin & Barneby,,Fabaceae,tree,tree,perennial,,,,,,,,,,,,,,native,,,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PR|BR-RJ|BR-RO|BR-RS|BR-SC|BR-SP|BR-TO,
,caqui,Diospyros kaki,L.f.,,Ebenaceae,tree,tree,perennial,high,6,3,,50,,evergreen,,secundaria1e2,,,,,cultivated,,7x6,BR-AL|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-RJ|BR-RN|BR-SE|BR-SP,
,cara,Dioscorea alata,L.,,Dioscoreaceae,climber,vine,annual,high,6,0.417,1,1,,annual,3,placenta2,,,,,cultivated,Área Antrópica,1x0.8,BR-AM|BR-DF|BR-MA|BR-MG|BR-MT|BR-PR|BR-RJ|BR-RO|BR-RR|BR-SP,
,carambola,Averrhoa carambola,L.,,Oxalidaceae,tree,tree,perennial,medium,4,5,,50,,evergreen,,secundaria3,,,,,cultivated,Área Antrópica,4x4,BR-AC|BR-AL|BR-AM|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,
,carapicica,Zollernia ilicifolia,(Brongn.) Vogel,,Fabaceae,tree,tree,perennial,,,,,,,,,,,,,,native,Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-AL|BR-BA|BR-DF|BR-ES|BR-MG|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RN|BR-RO|BR-SC|BR-SE|BR-SP,
caroba,caroba,Jacaranda micrantha,Cham.,,Bignoniaceae,tree,tree,perennial,,,,,,,,,,,,,,endemic,Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,carvoeiro,Tachigali aurea,Tul.,,Fabaceae,tree,tree,perennial,,,,,,,evergreen,,,,,,,native,Cerrado (lato sensu)|Floresta Ciliar ou Galeria,,BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PI|BR-SP|BR-TO,
,cassia-imperial,Cassia fistula,L.,,Fabaceae,tree,tree,perennial,high-emergent,7,,,,,deciduous,12,,animal food;medicines,,,,,,,,
Portuguese chestnut,castanha-portuguesa,Castanea sativa,Mill.,,Fabaceae,tree,tree,perennial,emergent,8,30,,,,,,,,,,,,,,,
,caterete,Machaerium oblongifolium,Vogel,,Fabaceae,tree,tree,perennial,,,,,,,,,,,,,,endemic,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-GO|BR-MG|BR-RJ|BR-SP,
onion,cebola,Allium cepa,L.,cepa,Liliaceae,herb,forb,annual,medium,4,0.236,0.833,0.833,,annual,,,,,,,,,,,
Egyptian onion,cebola-do-egito,Allium proliferum,(Moench) Schrad. ex Willd.,,Liliaceae,herb,forb,perennial,medium-high,5,1.5,,,,,,,,,,,,,,,
chives,cebolinha,Allium schoenoprasum,L.,,Liliaceae,herb,forb,annual,high,6,0.208,0.25,0.25,,annual,,,,,,,,,,,
Chinese chives,cebolinha-chinesa,Allium tuberosum,Rottler ex Spreng.,,Liliaceae,herb,forb,perennial,low,2,1,,,,,0.6,,,,,,,,,,
green onion,cebolinha-verde,Allium fistulosum,L.,,Liliaceae,herb,forb,annual,,,0.208,0.333,0.333,,annual,,,,,,,,,,,
Australian cedar,cedro-australiano,Toona ciliata,M.Roem.,,Meliaceae,tree,tree,perennial,emergent,8,4,12,,4,,,secundariatardia,materials,,,,cultivated,,,BR-ES|BR-MG|BR-SP,
,cega-machado,Physocalymma scaberrimum,Pohl,,Lythraceae,tree,tree,perennial,,,,,,,evergreen,,,,,,,native,Cerrado (lato sensu)|Floresta Estacional Semidecidual,,BR-AC|BR-AM|BR-DF|BR-GO|BR-MT|BR-PA|BR-RO|BR-TO,
carrot,cenoura,Daucus carota,L.,kuroda,Apiaceae,herb,forb,annual,,,0.278,0.333,,,annual,,,human food,,,,cultivated,Área Antrópica,,BR-BA|BR-ES|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,cerefolio,Anthriscus cerefolium,Hoffm.,,Apiaceae,herb,forb,annual,low-medium,3,0.083,0.25,0.25,,annual,,,,,,,,,,,
Brazilian cherry,cereja,Eugenia involucrata,DC.,,Myrtaceae,tree,tree,perennial,high,6,6,7,,,evergreen,15,,human food;materials,,,,native,Campo de Altitude|Campo rupestre|Cerrado (lato sensu)|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista|Vegetação Sobre Afloramentos Rochosos,,BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,chal-chal,Allophylus edulis,Radlk. ex Warm.,,Sapindaceae,tree,tree,perennial,medium,4,,,,,deciduous,20,,environmental uses;human food,,,,native,Caatinga (stricto sensu)|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Decidual|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-AL|BR-BA|BR-CE|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,
chaya,chaya,Cnidoscolus aconitifolius,I.M.Johnst.,,Euphorbiaceae,shrub,shrub,perennial,low,2,0.25,0.333,,,evergreen,6,,human food;environmental uses,,,,,,,,
chicha,chicha,Sterculia curiosa,(Vell.) Taroda,,Malvaceae,tree,tree,perennial,emergent,8,20,30,,,,,,,,,,endemic,Cerrado (lato sensu)|Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP,
,chuchu,Sicyos edulis,Jacq.,,Cucurbitaceae,climber,vine,perennial,high,6,0.278,0.333,3,,semi.evergreen,,secundario1,,,,,naturalized,Área Antrópica|Floresta Ciliar ou Galeria,4,BR-AC|BR-AL|BR-AM|BR-AP|BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-RR|BR-RS|BR-SC|BR-SE|BR-SP|BR-TO,
cider,cidra,Citrus medica,L.,,Rutaceae,tree,tree,perennial,,,,,,,,,,,,,,,,,,
,cinamomo,Cinnamomum verum,J.Presl,,Lauraceae,tree,tree,perennial,emergent,8,2,12,,2,evergreen,18,,human food;medicines,,,,,,,,
coconut,coco,Cocos nucifera,L.,,Arecaceae,palm,palm,perennial,emergent,8,3,7,30,,evergreen,25,primarias,human food,,,,native,Restinga,9x9,BR-AL|BR-BA|BR-CE|BR-MA|BR-PB|BR-PE|BR-PI|BR-RN|BR-SE,
coconut palm,coco-dende,Elaeis guineensis,Jacq.,,Arecaceae,palm,palm,perennial,,,,,,,evergreen,,,,,,,naturalized,Área Antrópica|Floresta Ombrófila (= Floresta Pluvial)|Restinga,,BR-BA|BR-ES|BR-PE|BR-RN,
coriander,coentro,Coriandrum sativum,L.,,Apiaceae,herb,forb,annual,medium,4,0.083,0.194,0.194,,annual,,,,,,,naturalized,,,BR-RS|BR-SC,
,coite,Crescentia cujete,L.,,Bignoniaceae,tree,tree,perennial,low-medium,3,1,3,,,,,,,,,,cultivated,Área Antrópica,,BR-AC|BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MT|BR-PA|BR-RJ|BR-RO|BR-SP|BR-TO,
cumin,cominho,Cuminum cyminum,L.,,Apiaceae,herb,forb,annual,high,6,0.25,0.333,0.333,,annual,,,,,,,,,,,
,copaiba,Copaifera langsdorffii,Desf.,,Fabaceae,tree,tree,perennial,high-emergent,7,3,6,55,,evergreen,,secundario2e3,medicines;materials,,,,native,Área Antrópica|Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-BA|BR-CE|BR-DF|BR-ES|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PB|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RN|BR-RO|BR-SP|BR-TO,
,coracao-de-bugre,Machaerium acutifolium,Vogel,,Fabaceae,tree,tree,perennial,,,,,,,,,,,,,,,,,,
,cortica-lisa,Annona rugulosa,(Schltdl.) H.Rainer,,Annonaceae,tree,tree,perennial,high,6,4,5,,,semi.evergreen,15,,human food;medicines,,,,native,Floresta Ombrófila (= Floresta Pluvial),,BR-MG|BR-PR|BR-RS|BR-SC|BR-SP,
cork,corticeira,Erythrina falcata,Benth.,,Fabaceae,tree,tree,perennial,medium-high,5,,,,,deciduous,35,,materials;medicines,,,,native,Floresta Ciliar ou Galeria|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-ES|BR-MA|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
cork oak,corticeira-do-banhado,Erythrina crista-galli,L.,,Fabaceae,tree,tree,perennial,,,,,,,deciduous,20,,materials;medicines,,,,native,Floresta Ciliar ou Galeria|Floresta Ombrófila (= Floresta Pluvial),,BR-DF|BR-MG|BR-MS|BR-MT|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
Chinese cabbage,couve-chinesa,Brassica rapa subsp. Pekinensis,(Lour.) Hanelt,,Brassicaceae,herb,forb,annual,high,6,0.153,0.306,0.459,,annual,,,,,,,,,,,
Brussels sprout,couve-de-bruxelas,Brassica oleracea var. gemmifera,DC.,gemmifera,Brassicaceae,herb,forb,annual,medium-high,5,0.25,0.389,0.639,,annual,,,,,,,,,,,
cauliflower,couve-flor,Brassica oleracea var. botrytis,L.,botrytis,Brassicaceae,herb,forb,annual,medium-high,5,0.25,0.278,0.25,,annual,,placenta1,,,,,,,0.6x0.8,,
kohlrabi,couve-rabano,Brassica oleracea var. gongylodes,L.,gongylodes,Brassicaceae,herb,forb,annual,medium-high,5,0.111,0.180,0.180,,annual,,,,,,,,,,,
sunn hemp,crotalaria,Crotalaria juncea,L.,,Fabaceae,shrub,shrub,annual,emergent,8,0.125,,1,,annual,,placenta1,,,,,naturalized,Área Antrópica|Campo de Várzea|Campo Limpo|Campo rupestre|Cerrado (lato sensu)|Manguezal,0.10,BR-AM|BR-BA|BR-CE|BR-MG|BR-MS|BR-MT|BR-PA|BR-PB|BR-PE|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
cupuacu,cupuacu,Theobroma grandiflorum,(Willd. ex Spreng.) K.Schum.,,Malvaceae,tree,tree,perennial,medium,4,6,12,30,,evergreen,8,sistemadedisturbio,human food,,,,native,Floresta de Igapó|Floresta de Várzea,4x4,BR-AC|BR-AM|BR-PA|BR-RO,
turmeric,curcuma,Curcuma longa,L.,,Zingiberaceae,herb,forb,annual,low,2,0.417,1,1,,annual,,,,,,,,,,,
,curriola,Pouteria ramiflora,Radlk.,,Sapotaceae,tree,tree,perennial,,,,,,,evergreen,,,,,,,native,Cerrado (lato sensu)|Restinga,,BR-BA|BR-CE|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-RJ|BR-RO|BR-SP|BR-TO,
,cuvata,Cupania vernalis,Cambess.,,Sapindaceae,tree,tree,perennial,medium,4,,,,,evergreen,25,,materials,,,,native,Cerrado (lato sensu)|Floresta Ciliar ou Galeria|Floresta de Terra Firme|Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial),,BR-AM|BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PA|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,dedaleiro,Lafoensia pacari,A.St.-Hil.,,Lythraceae,tree,tree,perennial,medium,4,8,,55,,evergreen,25,,materials,,,,native,Cerrado (lato sensu)|Floresta Ciliar ou Galeria,,BR-BA|BR-DF|BR-GO|BR-MA|BR-MG|BR-MS|BR-MT|BR-PR|BR-SP|BR-TO,
dandelion,dente-de-leao,Taraxacum officinale,F.H.Wigg.,,Asteraceae,herb,forb,perennial,low,2,0.25,,,,,,,,,,,,,,,
,embauba,Cecropia glaziovii,Snethl.,,Urticaceae,tree,tree,perennial,emergent,8,,,50,,evergreen,,,,,,,endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-BA|BR-ES|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP,
,embauba-prateada,Cecropia hololeuca,Miq.,,Urticaceae,tree,tree,perennial,emergent,8,6,,,,evergreen,12,,materials;human food,,,,endemic,Floresta Estacional Semidecidual|Floresta Ombrófila (= Floresta Pluvial)|Floresta Ombrófila Mista,,BR-BA|BR-ES|BR-MG|BR-RJ|BR-SP,
